Item Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Sodium (mg)
fermented bengal gram vada (khameerikrit/ufna hua channa dal ka vada),657.57,8.68,4.05,67.19,2.65,63.87
poshtik namak paras,613.39,19.52,6.49,56.58,4.55,44.01
soya chikki,423.7,62.89,7.18,15.51,3.55,17.24
besan bathua chilla/cheela,373.82,40.65,11.48,18.57,7.79,166.36
wheat flour and nuts ladoos (atta nuts ladoos),391.9,44.31,9.46,19.19,7.3,8.07
gram flour and semolina dhokla (besan suji dhokla),198.91,25.92,8.52,7.1,4.59,196.59
atta dal burfi,298.8,40.64,6.66,12.47,4.08,3.56
soya roti,283.96,40.03,9.18,9.23,8.71,155.93
poshtik khichdi/khichri,93.37,15.64,3.04,1.88,2.0,41.67
namkeen daliya,295.11,49.32,8.29,7.99,8.57,149.63
sprouts upma,316.25,44.96,9.5,10.44,7.16,147.82
semolina idli (suji/rava idli),206.39,33.67,9.34,3.47,5.85,185.02
poshtik chilla/cheela,159.53,27.47,4.85,3.04,4.91,97.18
stuffed bittergourd (dry) (bharwa karela),217.65,2.49,1.29,22.38,3.0,519.29
cauliflower potato canjee,16.79,2.63,0.57,0.39,0.69,35.58
creamed spinach,96.91,4.44,5.18,6.39,1.33,156.02
mango milkshake with ice cream (aam milkshake ice cream ke saath),68.35,9.18,1.93,2.8,0.23,16.64
pineapple milkshake with ice cream (ananas milkshake ice cream ke saath),68.49,9.33,1.93,2.75,0.42,16.65
orange milkshake with ice cream (narangi milkshake ice cream ke saath),67.82,9.15,1.95,2.75,0.16,16.65
woodapple juice (bel ka sharbat),34.18,6.51,0.63,0.7,1.03,127.45
sattu drink,23.38,5.16,0.56,0.14,0.4,12.65
apple and honey sorbet (seb aur shehad ka sharbat),121.3,30.74,0.15,0.29,1.13,1.97
thandai,101.18,9.13,3.59,5.89,0.8,22.69
cucumber sharbat (kheere ka sharbat),27.28,6.64,0.26,0.06,0.78,2.57
apple oats chia seed smoothie,85.64,13.07,3.49,2.48,1.44,32.02
nannari sharbat,88.79,23.62,0.01,0.01,0.0,1.16
semolina milk drink (thari kanji),44.16,6.93,0.98,1.36,0.72,11.95
saffron milk (kesariya doodh),102.18,12.64,3.17,4.57,0.14,23.69
black rice kheer (chak-hao kheer),147.94,22.93,4.37,4.91,0.76,25.77
coconut kheer (nariyal ki kheer),162.61,14.42,3.4,10.55,1.53,45.97
apple sago payasam (seb aur sabudana ki kheer),136.5,14.4,3.13,7.66,0.38,39.45
kesari bath,244.57,31.38,2.4,12.59,1.65,1.7
putharekulu,318.3,59.61,3.66,7.55,1.75,2.67
mango malpua,334.64,12.84,1.65,30.67,2.08,1.89
mango vanilla custard,147.63,18.41,3.43,7.04,0.99,30.12
kiwi granola pudding,280.99,32.33,5.6,15.36,3.71,59.21
oats burfi,425.19,62.47,8.89,17.27,4.96,8.15
lotus seed halwa (kamal gattay ka halwa),370.55,39.56,7.79,20.69,0.42,3.06
amaranth ladoo (rajgira ladoo),454.15,51.33,10.12,22.7,5.11,7.51
chhena poda,344.57,33.64,13.68,17.94,1.4,13.0
sweet couscous dessert,196.2,29.69,3.81,7.69,2.18,4.22
sweetened yogurt (shrikhand),107.18,16.02,5.27,2.89,0.08,73.61
thickened sweetened milk (rabri),102.79,10.55,3.52,5.35,0.19,23.92
gram flour halwa (besan halwa),276.79,25.78,5.88,17.3,1.82,15.4
prawn sandwich,169.65,11.89,10.36,9.27,1.55,213.38
watercress sandwich,229.42,28.03,5.17,11.47,2.26,407.44
fish sandwich,150.2,10.09,4.72,10.37,1.23,161.88
kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84,3.66,97.97
finger millet biscuit (ragi biscuit),458.56,52.69,4.03,25.79,5.97,98.24
buttermilk biscuit,322.54,34.93,5.76,17.5,1.18,323.74
lemon cookies,394.48,42.19,5.63,23.02,0.78,84.71
sweet potato biscuit (shakarkand ke biscuit),296.4,38.13,5.14,13.31,2.27,339.58
raspberry shortbread cookies,441.12,61.25,3.0,21.25,0.75,6.06
pumpkin cookies,218.4,44.69,2.51,3.93,1.06,51.49
greenpea cookies,159.42,23.07,6.53,4.24,5.32,229.9
sunflower cookies,520.62,40.06,9.49,36.28,3.95,181.68
cardamom cookies (elaichi cookies),400.49,53.99,5.1,19.12,2.79,98.45
hazelnut cookies,493.32,39.44,6.25,34.97,2.45,81.06
milk cookies,459.43,48.43,10.49,24.96,0.99,156.53
cranberry cookies,272.48,36.39,3.92,12.66,1.13,58.25
olive biscuit,438.29,55.01,3.2,23.75,0.82,120.1
tutti fruitti biscuit,420.78,53.12,5.21,17.9,5.43,93.11
peach blueberry preserves,177.38,45.76,0.53,0.2,1.14,2.81
pear preserves (naashpati ka murabba),101.24,25.67,0.25,0.19,3.06,2.1
starfruit preserves,128.93,33.62,0.24,0.12,0.78,2.06
gooseberry pickle (amla ka achaar),278.58,7.61,1.55,27.61,3.7,86.38
lotus stem pickle (kamal kakdi ka achar),102.69,20.07,1.44,1.6,8.58,181.83
date pickle (khajoor ka achaar),182.29,34.66,1.68,4.21,5.2,138.86
garlic pickle (lahasun ka achar),413.62,9.75,3.72,39.88,5.13,269.12
fermented bamboo shoot pickle (mesu pickle),59.83,1.73,1.58,5.59,2.24,161.31
sweet peach pickle (aadoo ka achaar),144.64,37.01,0.46,0.2,1.32,33.04
pickled mustard greens,13.12,1.05,1.51,0.22,1.7,242.36
small onion pickle,16.86,2.76,1.65,0.64,1.09,249.48
green tomato pickle (haray tamatar ka achaar),193.26,2.87,1.23,19.67,1.74,159.18
pickled cabbage,13.69,2.56,0.39,0.14,0.61,121.39
coconut pickle (nariyal ka aachar),517.26,11.53,3.02,51.71,6.35,176.54
potato pickle (aloo ka achaar),369.14,7.87,2.07,36.46,2.21,213.73
mango murabba candy,293.35,77.32,0.27,0.05,0.95,13.71
afghani chicken,151.51,1.95,15.66,9.07,0.31,87.02
fish orly,563.7,4.27,5.87,58.18,0.33,136.37
hariyali fish tikka,150.24,2.21,14.01,9.41,0.99,100.45
chicken manchurian,142.34,6.06,9.53,11.96,0.41,2414.77
handi chicken,166.02,1.49,12.32,12.46,0.67,75.64
lemon chicken,169.79,0.55,20.2,9.66,0.16,79.93
lemon butter fish,160.25,0.75,16.38,10.26,0.36,187.72
baked eggs in tomato sauce,80.05,3.78,4.92,5.22,0.01,188.21
egg in a pepper,128.78,0.17,12.64,8.68,0.17,183.89
spinach mushroom scrambled egg (palak mushroom bhurji),158.85,0.59,13.28,11.51,0.39,227.97
corn omelette/omlet,166.93,1.57,11.37,12.89,0.02,166.42
cajun chicken,184.94,1.94,12.69,13.99,0.89,1740.13
paaner do pyaza,127.7,3.41,4.22,10.87,0.84,160.66
cabbage manchurian (pattagobhi manchurian),224.26,4.85,0.64,22.48,0.37,75.02
gobi 65,278.29,3.59,0.56,29.11,0.57,69.22
paneer lababdar,105.48,3.37,3.98,8.46,1.16,142.45
roasted cauliflower steak,78.68,2.02,2.05,6.7,3.53,120.19
sauteed radishes with green beans,94.32,6.04,2.41,6.61,3.52,65.1
garlic chutney/poondu chutney (lahasun ki chutney),255.51,20.44,3.34,17.55,5.15,177.62
schezwan chutney,205.19,10.79,3.33,17.72,5.72,486.27
onion chutney (pyaaz ki chutney/vengaya chutney),143.94,13.52,2.97,8.38,4.6,256.89
dates chutney (khajoor ki chutney),103.57,21.69,1.07,1.12,3.41,76.77
chicken salad,338.19,1.3,15.33,30.26,2.0,50.62
macaroni salad,262.19,21.63,5.02,17.78,0.56,163.99
cabbage raita (pattagobhi raita),84.84,5.25,3.24,5.76,0.93,125.31
pomegranate raita (anaar ka raita),72.64,7.15,4.05,3.24,0.6,195.18
onion raita (pyaaz ka raita),71.56,7.86,4.86,2.43,0.65,189.96
green chilli raita (hari mirch ka raita),77.13,7.66,5.58,2.92,0.26,161.31
kale salad,177.71,5.01,4.86,15.33,1.36,292.04
spinach and paneer souffle,186.19,9.64,7.56,13.49,1.07,434.68
masala souffle,123.51,8.02,6.38,7.37,1.24,131.14
chicken and cheese souffle,182.35,3.47,9.07,14.74,0.26,120.93
tamarind chutney (chintapandu pachadi/puli chutney),109.15,25.07,0.88,0.48,1.65,75.61
pav bhaji masala,230.47,29.15,9.13,10.96,24.3,1814.66
green chutney,79.42,10.01,5.42,1.6,5.84,262.81
sago khitchdi/khichri (sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.82,100.26
gram flour chilla/cheela (besan chilla/cheela),135.93,21.03,7.8,2.85,4.25,135.57
vegetable namkeen jave,112.23,18.98,2.93,2.51,2.86,32.13
khakhra,178.5,27.66,4.78,5.32,5.43,184.16
moong bean dosa (pesarattu),285.96,31.91,12.32,11.67,6.04,61.36
methi thepla,346.16,41.34,8.98,15.95,7.56,543.27
rice puttu (ari puttu),81.98,11.82,1.26,3.13,0.76,48.28
buckwheat pancake (khura),263.3,27.28,2.91,16.43,0.56,69.97
quinoa khichdi/khichri,64.01,8.83,3.18,1.59,2.58,69.64
khakhra chaat,358.66,16.64,4.52,30.65,3.04,102.78
banana appam,469.81,20.06,1.17,42.53,0.67,20.14
veg manchurian,585.64,6.82,0.89,61.65,1.16,65.31
pav bhaji,96.53,11.99,2.66,4.32,1.98,163.89
rice murukku,593.99,33.29,5.41,48.22,2.18,63.31
bhel puri,509.89,16.47,3.52,47.91,2.24,93.98
semolina dhokla (suji/rava dhokla),194.91,30.86,5.44,5.2,5.12,443.39
spicy corn chaat,479.8,11.45,4.61,46.55,2.17,86.5
jackfruit fritters (ponsa mulik/kathal ka pakora),597.79,24.0,2.34,54.41,1.5,46.39
banana chips (kele ke chips),665.67,7.32,0.37,70.46,0.65,86.87
wheat cake,314.63,41.13,4.79,14.95,2.76,82.96
mango cheesecake,152.46,20.06,2.39,7.3,1.14,107.12
carrot cake (gajar ka cake),255.59,35.98,5.6,10.27,2.93,158.74
semolina cake (suji/rava cake),374.14,31.32,6.58,25.18,5.37,91.36
finger millet cake (ragi cake),279.46,38.93,3.96,12.27,2.35,98.26
honey cake,333.59,49.04,3.08,14.7,0.51,72.55
almond cardamom cake (badam elaichi cake),356.35,34.53,7.18,21.36,2.35,155.37
tutti frutti cake,347.72,52.94,4.49,12.68,0.85,106.36
ham and bean soup,96.04,4.18,10.61,4.15,0.54,378.14
whey soup,68.91,6.26,3.45,3.34,0.84,87.08
bottle gourd soup (ghiya/lauki soup),23.05,1.16,0.45,1.79,0.96,53.81
baked potato soup,147.05,5.85,5.73,11.21,0.3,268.69
pumpkin soup,40.05,2.08,0.47,3.2,1.19,45.5
sweet corn soup,32.25,3.56,0.99,1.63,0.31,22.35
paneer soup,47.85,2.42,3.22,2.8,0.28,68.03
curried cauliflower soup,37.32,3.12,6.72,9.77,2.34,7311.44
millet soup,55.99,8.22,11.26,12.57,2.82,10918.83
lemon coriander soup,108.06,10.32,2.27,6.26,6.77,219.17
garlic soup,194.86,6.99,2.38,17.62,1.66,179.26
dal makhani,74.04,7.96,3.32,3.06,2.27,41.85
dalma,118.93,15.04,4.91,4.58,2.16,49.35
split bengal gram dal (channa dal),99.67,9.99,4.15,4.62,3.72,46.4
horsegram dal (kulthi dal),55.65,8.21,2.91,1.13,1.52,63.63
panchmel dal,111.22,10.71,4.63,5.36,3.2,79.46
dal dhokli,68.74,8.55,2.96,2.47,1.86,37.53
gujarati handvo,207.09,31.86,8.24,4.8,4.95,308.55
sev (omapodi/karapusa),609.14,12.87,5.12,60.08,2.35,53.19
papdi,708.96,12.89,1.83,72.11,0.56,28.91
jowar dosa,294.35,40.53,8.5,10.28,5.56,97.25
bread roll,435.46,16.12,2.85,40.25,1.45,139.34
soya seekh kebab,115.05,10.0,5.4,5.88,2.24,92.25
classic seasoned black beans,28.78,7.66,8.01,8.28,3.51,7989.07
maa chaane ki dal,344.67,43.11,19.8,9.5,13.45,43.31
garlic chickpea soup (lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.84,79.73
white sauce (thin),115.17,6.58,3.31,8.41,0.07,23.91
white sauce (medium),151.27,7.98,3.36,11.76,0.14,22.59
white sauce (thick),209.69,10.24,3.43,17.19,0.24,20.45
cheese sauce,194.76,7.08,7.68,15.12,0.12,317.38
egg sauce,146.85,5.88,5.97,11.08,0.12,51.54
mushroom sauce,137.56,7.31,3.39,10.51,0.47,20.94
mustard sauce,158.58,8.29,3.98,12.17,0.13,22.16
brown sauce,109.18,5.38,11.92,23.67,1.69,14174.59
classic italian pasta,42.12,4.4,0.57,2.45,1.36,49.04
pasta spinach sauce,85.46,1.76,1.76,7.9,0.86,115.79
pasta cheese sauce,149.26,9.0,4.33,10.84,0.14,255.95
mayonnaise,774.86,1.65,1.86,84.52,0.11,272.89
low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.06,165.94
thousand island dressing,407.87,4.49,1.37,42.87,0.46,946.1
curd dip,79.95,7.95,5.04,3.36,0.1,301.07
short crust pastry,422.1,44.72,6.11,23.98,1.58,97.2
choux pastry,222.37,16.2,5.55,14.96,0.56,132.28
flaky pastry,443.94,33.61,4.69,31.99,1.25,178.52
sponge cake,253.77,44.63,9.18,4.74,0.69,64.61
glace icing,323.51,86.31,0.01,0.01,0.0,9.88
royal icing,332.58,86.53,1.74,0.02,0.0,36.5
american frosting,257.57,67.48,1.05,0.01,0.0,19.33
gum icing,223.07,53.19,5.94,0.0,0.0,29.32
channa murmura premix,339.09,72.59,10.59,3.28,8.21,206.28
cracked wheat and green gram dal premix (dalia moong dal premix),362.16,64.75,15.89,5.11,11.66,3.25
rice flakes and roasted channa,333.4,71.94,10.57,2.94,8.84,205.51
spinach soup in milk,56.72,3.98,2.89,3.2,0.79,31.16
vegetable soup,55.21,7.6,2.22,1.55,3.01,170.68
mashed banana with milk,95.43,14.62,2.51,2.99,0.71,16.99
poha with curd (poha aur dahi),173.32,26.72,6.01,4.65,1.09,325.07
potato with curd,73.18,12.01,3.19,1.33,1.02,190.9
sweet wheat porridge (sweet dalia),140.66,23.77,5.11,2.79,2.37,24.63
vegetable khichdi/khichri,143.17,19.57,5.61,4.53,2.45,193.55
moong dal mixture,158.84,33.93,4.62,1.0,1.9,29.6
cracked wheat khichri/khichdi (dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.74,224.95
stewed apple,91.93,22.49,0.17,0.37,1.48,1.53
lemon squash (nimbu ka squash),184.56,48.88,0.15,0.06,0.0,15.01
orange squash (santre ka squash),193.26,50.88,0.22,0.04,0.4,14.85
lichi squash,198.33,51.96,0.3,0.08,0.41,14.56
mango squash (aam ka squash),194.66,50.96,0.17,0.17,0.58,14.81
pineapple squash (ananas ka squash),195.02,51.34,0.16,0.05,1.06,14.84
lemon and ginger squash (nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,1.07,16.19
apple jam (seb ka murabba),188.79,48.56,0.14,0.32,1.29,2.71
plum jam (aloo bukhara jam),178.89,46.2,0.31,0.19,1.0,2.67
pineapple jam,149.18,38.27,0.32,0.15,2.2,2.45
guava jelly (amrood ki jelly),115.74,28.18,1.11,0.25,6.61,3.36
orange marmalade (santray ka murabba),104.17,25.94,0.66,0.13,1.97,2.31
carrot murabba (gajar ka murabba),175.24,45.6,0.32,0.16,1.39,19.53
gooseberry marmalade (amla murabba),123.16,32.34,0.14,0.03,0.0,216.89
ginger candy (adrak ki candy),195.71,50.38,0.69,0.27,1.67,5.4
mango pickle (aam ka achaar),192.12,8.11,1.6,17.89,3.68,3429.94
mixed vegetable pickle (sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.76,2488.32
sweet lemon pickle (neembu ka meetha achaar),69.54,16.87,1.22,0.21,2.13,6415.9
plum chutney (aloo bukhara ki chutney),177.11,44.95,0.47,0.29,1.37,216.81
raw mango chutney (kachhe aam/kairi ki chutney),193.13,49.94,0.51,0.16,2.17,480.68
tomato sauce,34.33,7.23,0.81,0.27,1.79,174.79
tomato puree,20.62,3.68,0.75,0.25,1.56,244.99
garam masala,254.21,26.2,9.89,10.97,35.56,58.33
chat masala,222.58,23.87,8.19,9.91,18.62,11873.64
kashmiri masala,389.02,23.16,8.26,31.03,12.12,3106.14
rasam powder (rasam masala),267.96,25.19,12.04,11.8,35.71,38.78
sambar powder (sambar masala),297.46,23.38,12.5,15.58,34.56,27.66
tartare sauce,610.93,2.96,1.44,66.12,0.42,256.95
barbeque sauce,121.93,20.46,0.96,4.51,0.69,504.95
bread sauce,111.04,8.69,3.46,7.05,0.56,88.84
green chilli sauce,46.06,7.36,1.25,0.27,1.77,1037.04
home made plain noodles,238.78,44.5,6.21,3.56,1.65,182.07
dal moong,43.69,4.92,2.2,1.62,1.08,117.74
cumin seeds baghar (jeera baghar/tadka),736.81,5.22,3.34,78.77,6.01,177.58
onion tomato baghar (pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,2.12,31.33
mustard seeds baghar (mustard seed tadka),552.59,10.45,4.73,54.3,9.74,8.9
hot cherry sauce,252.74,67.95,0.13,0.07,0.0,105.81
apple jelly (seb ki jelly),152.13,39.37,0.1,0.21,0.86,2.14
marmalade (murabba),143.76,37.64,0.23,0.04,0.43,2.16
plum squash (aloo bukhara squash),211.17,55.51,0.16,0.1,0.52,12.71
lemon green chilli pickle (nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1.07,7559.38
brinjal pickle (baingan ka achaar),139.01,4.23,2.24,12.98,4.62,3507.59
sweet and sour tomato pickle (khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,2.2,1281.94
jhatpat achar with carrot (jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,5.08,2067.33
tomato chutney (tamatar ki chutney),176.07,31.85,0.97,6.01,1.49,823.65
tomato ketchup,33.07,6.48,0.91,0.3,1.9,177.97
bengal 5 spice blend (panch phoran),289.79,20.0,18.26,22.16,18.4,51.43
papaya,42.8,9.7,0.68,0.0,1.29,0.0
guava,66.1,15.6,2.55,0.0,5.64,0.0
watermelon,26.0,8.3,0.52,0.0,0.76,0.0
grapes,66.3,19.8,0.99,0.0,0.7,0.0
orange,49.6,13.2,0.66,0.0,2.63,0.0
apple,51.2,15.8,0.53,0.0,1.9,0.0
pineapple,50.8,11.6,0.76,0.0,1.08,0.0
strawberry,27.0,8.8,0.5,0.0,2.49,0.0
banana,96.2,26.4,1.44,0.0,2.9,0.0
mango,56.1,14.8,0.58,0.0,1.87,0.0
khichdi,150,28,6,3,2,0
rasam,30,5,1,0.5,0.5,0
oatmeal,150,27,5,3,4,0
daliya,150,30,5,1,4,0
moong dal,120,20,8,0.5,4,0
brown rice,215,45,5,1.5,3,0
